HARVARD UNIVERSITY,"Ivy League,School,Crimson,Cambridge,MIT"
FLY SWATTER,"Kill,Slap,Bug,Buzz,Tool"
CANADA,"North,Cold,Snow,Goose,Mountie"
ADDICTION,"Drug,Alcohol,Rehab,Habit,Withdrawal"
INCISION,"Cut,Operate,Surgery,Scalpel,Stitch"
POLO,"Horse,Water,Shirt,Club,Sport"
SCREAM,"Yell,Shout,Scare,Fear,Surprise"
CURFEW,"Late,Teenager,Home,Ground,Time"
SPREADSHEET,"Excel,Numbers,Math,Equations,Table"
SPIRITUAL,"Belief,Religion,Faith,God,Holy"
BLISTER,"Pop,Skin,Heel,Handle,Foot"
MOTHERBOARD,"Computer,Processor,Boot,Circuit,Chip"
NORTH CAROLINA,"Atlantic,Tar Heel,South,Virginia,Tennessee"
BAR STOOL,"Drink,Sit,Chair,Fight,Kitchen"
THERAPIST,"Analyze,Doctor,Couch,Shrink,Psychiatrist"
WHIRLPOOL,"Water,Spin,River,Swirl,Appliance"
CALCULUS,"Math,Function,Derivative,Integral,Limit"
ILLITERATE,"Read,Write,Word,School,Educate"
BEATBOX,"Rhythm,Drum,Mouth,Sound,Music"
SQUIRREL,"Tree,Rocky,Bushy,Road,Fly"
ANTEATER,"Animal,Insects,Tongue,Termites,Hill"
BIGFOOT,"Sasquatch,Yeti,Hairy,Monster,Legend"
CONCH,"Shell,Whelk,Ocean,Beach,Snail"
PAPER BOY,"News,Deliver,Bicycle,Nintendo,Throw"
PILLAGE,"Burn,City,Pirate,Soldier,Plunder"
SIT-UP,"Crunch,Abdominal,Fitness,Workout,Exercise"
PHOTOGRAPH,"Picture,Camera,Cheese,Art,Snap"
WITCHCRAFT,"Burn,Magic,Potter,Practice,Wizard"
TUMOR,"Cancer,Malignant,Benign,Doctor,Lump"
GARBAGE,"Day,Trash,Collect,Truck,Can"
ZOO,"Animal,Panda,Monkey,Visit,Cage"
LUGE,"Olympics,Slide,Back,Board,Downhill"
CUCUMBER,"Vegetable,Green,Crunch,Grow,Pickle"
ENTREPRENEUR,"Business,Company,Hire,Start,Sell"
BIRTHDAY CAKE,"Candle,Chocolate,Vanilla,Frosting,Party"
COLOGNE,"Smell,Date,Man,French,Dab"
DEMOCRACY,"Government,Elect,Vote,America,Republic"
FUNGUS,"Mushroom,Spore,Mildew,Mold,Green"
HAIRBRUSH,"Comb,Salon,Straight,Tangle,Morning"
VISOR,"Golf,Hat,Head,Sun,Eyes"
WALL STREET,"Stock Market,Broker,Bond,Greed,New York"
ODYSSEUS,"Troy,Home,Ulysses,Homer,Epic"
MOTEL,"Inn,Hotel,Cheap,Sleep,Stay"
RAINBOW,"Color,Gold,Light,Reading,Waterfall"
ELVIS PRESLEY,"Graceland,Hound Dog,Sing,Rock N' Roll,King"
CANVAS,"Blank,Paint,Draw,Door,Poll"
WRITE,"Paper,Pencil,Pen,Letter,Hand"
WILDFIRE,"Hot,Forest,Brush,Fight,Spread"
EMERALD,"Green,Oz,Stone,Gem,Diamond"
BOXER,"Sport,Dog,Punch,Ring,Gloves"
BEEF JERKY,"Slim Jim,Dry,Meat,Chew,Salt"
KIDDIE POOL,"Swim,Small,Kid,Shallow,Baby"
TOOTHPASTE,"Brush,Teeth,Mouth,Bed,Clean"
PUREE,"Blend,Liquid,Smooth,Sauce,Tomato"
KING CRAB,"Seafood,Claw,Sideways,Pincer,Leg"
WELCOME,"Greet,Mat,Hello,Home,Party"
CRAWL,"Baby,Space,Bug,Knees,Floor"
CROP CIRCLE,"Corn,Ufo,Pattern,Alien,Hoax"
PASSWORD,"Hack,Steal,Lock,Secret,Login"
WEBCAM,"Skype,Chat,Video,Talk,Computer"
WHEELCHAIR,"Disable,Handicap,Roll,Electric,Ramp"
YANKEE,"Northern,New York,American,Baseball,British"
ZEUS,"Jupiter,Greek,King,God,Olympus"
BEETHOVEN,"Composer,Deaf,Piano,Symphony,Roll Over"
BIKINI,"Yellow,Beach,Wear,Two Piece,Wax"
BUFFET,"Eat,Meal,All,Salad,Chinese"
COAST,"Ocean,Beach,Sand,Sail,Wave"
PLATEAU,"Flat,Land,Mountain,West,Desert"
RANCID,"Sour,Milk,Bad,Rotten,Trash"
SIGNAL,"Smoke,Morse Code,Sign,Light,Turn"
SLOW MOTION,"Move,Movie,Frame,Action,Film"
SLEET,"Rain,Sky,Ice,Cloud,Freeze"
DANCE,"Disco,Ballroom,Waltz,Floor,Revolution"
ENGINEER,"Train,Civil,Bridge,Electric,Computer"
CEO,"Business,Company,Lead,Head,Run"
CHEAT,"Rules,System,Affair,Game,Break"
JULIUS CAESAR,"Brutus,Rome,Salad,Calendar,Emperor"
APOCALYPSE,"End,World,Plague,Rapture,Nuclear"
SURGEON,"Doctor,Stitch,Hospital,Operate,Brain"
SAMURAI,"Japan,Warrior,Ninja,Sword,Katana"
WATERMELON,"Seed,Red,Green,Summer,Juice"
BLIND,"Vision,See,Glasses,Cane,Dog"
REAL ESTATE,"House,Land,Realty,Mortgage,Bubble"
EXORCISM,"Demon,Priest,Holy,Christ,Cleanse"
PEANUT,"Butter,Jelly,Shell,Salt,Charlie Brown"
PARDON,"Forgive,Convict,Amnesty,French,President"
EASTER EGG,"Color,Paint,Dye,Vinegar,Hunt"
EMBARRASSED,"Shy,Blush,Red,Foolish,Feel"
POISON IVY,"Itch,Rash,Plant,Skin,Touch"
BEG,"Ask,Knee,Plead,Mercy,Dog"
BUDDHA,"Fat,India,Meditate,Religion,Statue"
BRUISE,"Black,Blue,Blood,Skin,Hurt"
THORN,"Rose,Prick,Bush,Side,Stem"
PHARMACIST,"Pill,Prescription,Pharmacy,Counter,Medicine"
VOCAL CHORDS,"Talk,Sing,Throat,Lose,Vibrate"
CAMEL,"Hump,Ride,Spit,Desert,Water"
GREEN TEA,"Caffeine,Hot,Bag,Drink,Coffee"
SUPERCOMPUTER,"Keyboard,Internet,Research,Powerful,Science"
TRAGEDY,"Greek,Romeo And Juliet,Sad,Horrible,Ending"
DRAW,"Art,Straws,Tie,Pencil,Pen"
SERIAL KILLER,"Murder,Hannibal,Crazy,Kill,Catch"
AL CAPONE,"Mob,Mafia,Prohibition,Alcohol,Bootleg"
EAST,"Sunrise,Asia,Russia,West,New York"
HILLARY CLINTON,"First Lady,President,Secretary Of State,Bill,Election"
WRESTLING,"Greek,Arm,Fight,Boxing,Grab"
FRENCH KISS,"Lips,Make Out,Tongue,Party,Mouth"
PIPE ORGAN,"Church,Music,Hymn,Play,Piano"
WAITER,"Tip,Table,Serve,Food,Male"
STEWARDESS,"Plane,Serve,Order,Air,Food"
POKER,"Card,Face,Gamble,Bluff,Hold"
FERRIS WHEEL,"Fair,Ride,Circus,Around,High"
SMOOTH,"Rough,Slick,Suave,Texture,Creamy"
CELLO,"String,Bass,Yo-Yo Ma,Bow,Orchestra"
WHISKEY,"Bourbon,Shot,Bar,Jack Daniels,Scotch"
GOLDFISH,"Guppy,Bowl,Crackers,Cheese,Aquarium"
BARTENDER,"Serve,Drink,Alcohol,Beer,Order"
JAYWALK,"Cross,Road,Street,Illegal,Cars"
EARRING,"Pierce,Jewelry,Lobe,Hoop,Girl"
WRIGHT BROTHERS,"Air Plane,Flight,Inventors,Kitty Hawk,Bicycle"
DEMON,"Evil,Possess,Halloween,Hell,Horn"
MOOSE,"North,Chocolate,Deer,Hunt,Antler"
DIAPER,"Wear,Stink,Wet,Change,Baby"
UNICORN,"Fantasy,Horn,Horse,Rainbow,One"
HANGMAN,"Execute,Rope,Hood,Death,Punish"
DRUMSTICK,"Wood,Chicken,Hit,Band,Snare"
