likely,"succeed,probably,explanation,occur,cause"
answer,"question,whether,problem,asked,why"
congress,"passed,committee,party,house,senate"
issue,"journal,bonds,publication,issues,whether"
needs,"disabilities,addressed,assessment,wants,requirements"
story,"roof,writer,frame,girl,told"
england,"scotland,ireland,squad,situated,grade"
start,"innings,lap,delayed,finish,stop"
write,"directed,published,produced,books,author"
county,"city,part,school,states,state"
growth,"demand,factors,shrink,rate,economic"
market,"price,products,sales,stock,value"
police,"security,officer,chief,department,force"
final,"score,saturday,beat,round,season"
natural,"resources,philosophy,loss,gas,history"
property,"rights,places,values,value,tax"
training,"personnel,officers,unit,corps,programs"
paper,"publication,newspaper,editor,published,daily"
passed,"bill,congress,act,hands,law"
range,"mountain,guns,mountains,missile,subjects"
bring,"forth,attention,peace,together,back"
floor,"wall,space,above,door,room"
foreign,"aid,trade,countries,secretary,policy"
meeting,"representatives,rooms,discussed,requirements,held"
walked,"miles,door,looked,away,off"
building,"houses,built,designed,corner,floor"
higher,"average,temperature,rate,level,education"
simple,"wooden,minds,lie,complex,easy"
difficult,"determine,understand,conditions,situation,find"
subject,"approval,object,subjects,discussion,matter"
friends,"relatives,colleagues,friendship,enemies,neighbors"
medical,"treatment,care,research,center,college"
picture,"frame,gray,film,image,best"
doing,"anything,thing,things,nothing,something"
received,"positive,vote,degree,attention,university"
terms,"describe,taxes,percentage,term,agreement"
trying,"tell,find,something,get,make"
beginning,"twentieth,ending,presidential,continuing,century"
getting,"caught,trouble,ready,job,know"
central,"bank,district,population,committee,america"
religious,"religion,groups,freedom,moral,christian"
river,"valley,bridge,mouth,north,south"
shown,"protein,wearing,below,table,figure"
defense,"security,forces,secretary,force,air"
equipment,"machines,machinery,maintenance,items,personnel"
island,"bay,coast,shore,platform,providence"
committee,"standing,member,congress,report,secretary"
reached,"hot,weeks,final,top,number"
developed,"xbox,microsoft,interactive,software,reputation"
tried,"prevent,stop,trial,keep,get"
basic,"principle,needs,training,increase,education"
hundred,"twenty,thousand,miles,ago,feet"
industry,"commerce,economy,companies,association,industrial"
research,"studies,science,university,center,development"
added,"heritage,historic,register,testament,places"
amount,"paid,needed,increase,tax,money"
feeling,"feel,really,sense,felt,something"
makes,"clear,seem,sure,sense,possible"
single,"song,hit,hot,reached,number"
heart,"failure,condition,attack,blood,rate"
looking,"glass,forward,window,ways,something"
miles,"north,land,west,water,away"
coming,"substitute,bench,minute,draw,christ"
hours,"hour,minutes,morning,week,day"
inside,"tube,walls,box,outside,door"
material,"magnetic,plastic,handling,materials,stress"
person,"answered,someone,knows,persons,shall"
report,"reports,stated,prepared,commission,indicated"
beyond,"mere,pale,duty,reasonable,doubt"
forces,"personnel,battle,army,military,force"
nations,"mission,security,council,nation,peace"
stage,"theatre,screen,stages,theater,audience"
taking,"consideration,advantage,account,steps,place"
brown,"hair,dark,black,white,eyes"
costs,"pay,increase,tax,cost,per"
attention,"disorder,deficit,focused,detail,paid"
recent,"decades,developments,trend,suggest,studies"
return,"voyage,journey,returns,yards,trip"
except,"occasional,brief,circumstances,noted,indicated"
wrote,"poems,poetry,books,letter,book"
complete,"partial,graph,tasks,properties,list"
required,"notice,maintain,courses,minimum,pay"
spirit,"jesus,spiritual,evil,christ,god"
union,"strike,credit,membership,communist,soviet"
father,"uncle,brother,died,son,mother"
basis,"eligible,orientation,vector,ratio,teacher"
space,"flight,agency,formula,mission,earth"
pressure,"blood,temperature,volume,difference,surface"
ground,"radar,zero,stadium,pale,floor"
values,"respect,moral,costs,mean,value"
expected,"pulled,begin,value,cost,face"
greater,"risk,emphasis,approximately,detail,extent"
months,"pregnant,jail,sentence,prison,later"
section,"constitution,sections,begin,shall,act"
third,"studio,quarter,fifth,fourth,round"
nature,"protected,trail,preserve,reserve,concern"
private,"firm,persons,property,secretary,schools"
secretary,"committee,department,president,general,state"
longer,"wider,afford,exists,exist,needed"
living,"wife,together,family,present,room"
alone,"older,average,size,age,family"
english,"speaking,language,literature,french,sat"
increase,"basic,amount,costs,tax,rate"
schools,"girls,students,education,school,high"
women,"equal,girls,female,children,men"
minutes,"draw,goal,ahead,hour,seconds"
personal,"papers,experiences,achieved,reasons,responsibility"
process,"whereby,involves,processes,repeated,steps"
situation,"desperate,complicated,comedy,worse,improved"
lines,"parallel,poem,text,page,line"
modern,"scholars,era,languages,warfare,art"
peace,"conference,agreement,corps,justice,nations"
table,"column,shows,below,results,values"
believe,"spirit,true,anything,god,should"
surface,"temperature,earth,pressure,feet,water"
value,"price,function,property,values,tax"
various,"aspects,types,forms,ways,including"
strong,"legs,presence,influence,sense,enough"
black,"color,hair,dark,white,eyes"
evidence,"indicate,claim,existence,trial,ago"
million,"estimated,watched,worth,sales,ago"
sound,"waves,sounds,tone,effects,heard"
leave,"absence,join,stay,alone,behind"
north,"east,america,west,south,american"
usually,"eggs,rarely,involves,occasionally,sometimes"
century,"abbey,manuscript,fox,medieval,centuries"
class,"proposal,ships,boats,struggle,classes"
figure,"legislative,dancing,assembly,represented,figures"
outside,"switzerland,boundaries,limits,walls,inside"
morning,"evening,hour,talk,hours,show"
total,"land,cost,area,water,right"
military,"officer,corps,army,forces,service"
short,"legs,pointed,film,distance,story"
stood,"election,beside,inches,sitting,down"
child,"marriage,labor,care,mother,children"
effect,"phenomenon,increases,observed,radiation,effects"
level,"skills,achievement,levels,understanding,reading"
students,"programs,sat,schools,education,school"
education,"higher,schools,students,university,school"
mother,"mary,parents,herself,father,child"
music,"orchestra,song,musical,dance,jazz"
party,"democratic,labor,congress,secretary,political"
provide,"opportunity,services,care,support,information"
clear,"communications,plastic,distinction,danger,whether"
following,"departure,entry,draw,season,table"
front,"legs,teeth,audience,window,door"
sometimes,"credited,distinguish,confused,referred,called"
necessary,"sufficient,prevent,condition,proper,steps"
policy,"affairs,relations,planning,foreign,economic"
common,"calendar,prayer,species,names,sense"
control,"radar,prevention,controls,controlled,systems"
center,"campus,row,downtown,centers,style"
woman,"wants,herself,husband,women,man"
voice,"acting,telephone,tone,hear,heard"
wanted,"want,felt,knew,something,know"
court,"decision,trial,cases,hear,case"
force,"personnel,base,unit,forces,air"
community,"outreach,township,colleges,communities,county"
close,"relative,contact,relationship,friend,friends"
areas,"wildlife,parks,forests,protected,urban"
society,"sciences,journal,jesus,fellow,membership"
board,"executive,chair,chairman,member,education"
change,"climate,changing,changes,direction,mind"
south,"river,east,america,north,west"
position,"rbi,bats,coaching,batting,lap"
economic,"situation,policy,political,development,social"
street,"neighborhood,streets,bridge,corner,road"
available,"viewing,package,automatic,purchase,windows"
known,"endemic,locally,rural,district,name"
became,"interested,member,known,later,part"
federal,"administration,tax,court,act,government"
moment,"axis,moments,silence,intensity,truth"
study,"conducted,subjects,philosophy,studies,showed"
heard,"talking,radio,hear,voice,say"
major,"pitcher,baseball,minor,league,cities"
problems,"difficulties,faced,solution,caused,problem"
special,"effects,needs,forces,education,interest"
brought,"halt,slaves,forth,attention,back"
making,"appearance,statements,impossible,difficult,sure"
